"","ActivityCategory","ActivityName","FormFieldType","Category","Name","Description","Units","AttributeValue","ReportingFrequency","LocationType","multipleAllowed","mandatory","sort"
"1","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"19","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"37","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"55","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"73","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"91","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"109","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"127","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"145","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"163","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"181","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"199","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"217","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"235","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"253","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"271","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"289","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Indicator","# of reported incidents of deportation","","# of action taken","","Once","SyrRefRespRRP6","","",""
"2","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"20","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"38","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"56","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"74","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"92","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"110","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"128","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"146","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"164","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"182","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"200","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"218","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"236","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"254","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"272","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"291","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Indicator","# of WGBM enrolled with documentary enrollment","","# of benef.","","Once","SyrRefRespRRP6","","",""
"290","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Indicator","# of WGBV enrolled with IRIS scan","","# of benef.","","Once","SyrRefRespRRP6","","",""
"3","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"21","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"39","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"57","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"75","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"93","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"111","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"129","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"147","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"165","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"183","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"201","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"219","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"237","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"255","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"273","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"292","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Indicator","Indicator","# of WGBM receiving legal information, counselling and/or representation","","# of benef.","","Once","SyrRefRespRRP6","","",""
"4","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"22","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"40","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"58","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"76","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"94","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"112","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"130","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"148","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"166","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"184","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"202","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"220","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"238","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"256","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"274","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"293","PROT[1]Refugee Rights Respected","[REF1.4]Civil Status/Birth Reg.","Indicator","Indicator","# of girls and boys receiving birth certificates","","# of benef.","","Once","SyrRefRespRRP6","","",""
"5","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"23","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"41","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"59","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"77","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"95","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"113","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"131","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"149","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"167","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"185","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"203","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"221","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"239","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"257","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"275","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"294","PROT[1]Refugee Rights Respected","[REF1.5]Resettlement/Solutions","Indicator","Indicator","# of WGBM submitted for third country resettlement","","# of benef.","","Once","SyrRefRespRRP6","","",""
"6","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"24","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"42","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"60","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"78","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"96","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"114","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"132","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"150","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"168","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"186","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"204","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"222","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"240","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"258","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"276","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"295","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Indicator","# of WGBM participating in information sessions or receiving information about services","","# of benef.","","Once","SyrRefRespRRP6","","",""
"296","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Indicator","Indicator","agencies with operational complaints and accountability mechanisms","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"7","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"25","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"43","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"61","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"79","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"97","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"115","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"133","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"151","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"169","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"187","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"205","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
